Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_PHO_DATA	BRENDA_TO_DATA	BRENDA_TS_DATA
P07237	Chordata	Eukaryota	Mammalia	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; melanosome [GO:0042470]; procollagen-proline 4-dioxygenase complex [GO:0016222]; protein-containing complex [GO:0032991]; actin binding [GO:0003779]; enzyme binding [GO:0019899]; integrin binding [GO:0005178]; procollagen-proline 4-dioxygenase activity [GO:0004656]; protein disulfide isomerase activity [GO:0003756]; protein heterodimerization activity [GO:0046982]; protein-disulfide reductase activity [GO:0015035]; RNA binding [GO:0003723]; thiol oxidase activity [GO:0016972]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-7 [GO:0098761]; interleukin-12-mediated signaling pathway [GO:0035722]; interleukin-23-mediated signaling pathway [GO:0038155]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; positive regulation of cell adhesion [GO:0045785]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of viral entry into host cell [GO:0046598]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902175]; response to endoplasmic reticulum stress [GO:0034976]	cellular response to hypoxia [GO:0071456]; cellular response to interleukin-7 [GO:0098761]; interleukin-12-mediated signaling pathway [GO:0035722]; interleukin-23-mediated signaling pathway [GO:0038155]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; positive regulation of cell adhesion [GO:0045785]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of viral entry into host cell [GO:0046598]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902175]; response to endoplasmic reticulum stress [GO:0034976]	actin binding [GO:0003779]; enzyme binding [GO:0019899]; integrin binding [GO:0005178]; procollagen-proline 4-dioxygenase activity [GO:0004656]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]; thiol oxidase activity [GO:0016972]	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; melanosome [GO:0042470]; procollagen-proline 4-dioxygenase complex [GO:0016222]; protein-containing complex [GO:0032991]	GO:0003723; GO:0003756; GO:0003779; GO:0004656; GO:0005178; GO:0005576; GO:0005783; GO:0005788; GO:0005793; GO:0005829; GO:0005856; GO:0005925; GO:0006457; GO:0009897; GO:0015035; GO:0016222; GO:0016972; GO:0018401; GO:0019899; GO:0030027; GO:0032991; GO:0034663; GO:0034975; GO:0034976; GO:0035722; GO:0038155; GO:0042470; GO:0045785; GO:0046598; GO:0046982; GO:0070062; GO:0071456; GO:0098761; GO:1900026; GO:1902175	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	Protein disulfide isomerase family	KOG0190;	None	None	FCDRFLE;	462118at2759;	PF00085;	None	SSF52833;	7_count=1	None	None
Q7RRT0	Apicomplexa	Eukaryota	Aconoidasida	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1) (Fragment)	Protein disulfide isomerase family	None	None	None	YMEYTSE;	None	PF00085;	None	SSF52833;	None	None	None
Q93YN0	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; chloroplast thylakoid membrane [GO:0009535]; metal ion binding [GO:0046872]; protein disulfide isomerase activity [GO:0003756]; protein self-association [GO:0043621]; chloroplast organization [GO:0009658]	chloroplast organization [GO:0009658]	metal ion binding [GO:0046872]; protein disulfide isomerase activity [GO:0003756]; protein self-association [GO:0043621]	chloroplast [GO:0009507]; chloroplast thylakoid membrane [GO:0009535]	GO:0003756; GO:0009507; GO:0009535; GO:0009658; GO:0043621; GO:0046872	Protein disulfide-isomerase SCO2 (EC 5.3.4.1) (Protein SNOWY COTYLEDON 2)	None	ENOG502RZYJ;	None	CLU_089799_1_0_1;	AGKWRKR;	1414371at2759;	None	None	None	None	None	None
A7YBW7	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	8_count=1	None	None
A7YBX0	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	None	GO:0003756	47 kDa PDI (Fragment)	None	None	None	None	None	None	PF00085;	None	SSF52833;	8_count=1	None	None
Q4Z2V7	None	None	None	None	None	None	None	None	Deleted.	None	None	None	None	None	None	None	None	None	None	None	None
A7YBX2	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	endoplasmic reticulum [GO:0005783]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum [GO:0005783]	GO:0003756; GO:0005783	40 kDa PDI (Fragment)	Protein disulfide isomerase family	None	1.20.1150.12;	None	None	None	PF07749;PF00085;	None	SSF47933;SSF52833;	8_count=1	None	None
A7YBX4	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	None	None	None	None	None	15 kDa PDI (Fragment)	None	None	None	None	None	None	PF00085;	None	SSF52833;	8_count=1	None	None
O13811	Ascomycota	Eukaryota	Schizosaccharomycetes	endoplasmic reticulum [GO:0005783]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; cellular response to oxidative stress [GO:0034599]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]	cellular response to oxidative stress [GO:0034599]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]	protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]	endoplasmic reticulum [GO:0005783]	GO:0003756; GO:0005783; GO:0006457; GO:0015035; GO:0034599; GO:0034975	Protein disulfide-isomerase C17H9.14c (EC 5.3.4.1)	Protein disulfide isomerase family	KOG0191;	1.20.1150.12;	CLU_038617_1_1_1;	FINEHAG;	None	PF07749;PF00085;	None	SSF47933;SSF52833;	7.5_count=1	None	None
Q2XQR5	Apicomplexa	Eukaryota	Aconoidasida	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	KOG0190;	None	None	YIAKHAT;	None	PF00085;	None	SSF52833;	None	None	None
Q96DN0	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]; response to unfolded protein [GO:0006986]	protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]; response to unfolded protein [GO:0006986]	None	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]	GO:0005783; GO:0005788; GO:0006457; GO:0006986; GO:0034976	Endoplasmic reticulum resident protein 27 (ER protein 27) (ERp27) (Inactive protein disulfide-isomerase 27)	Protein disulfide isomerase family	KOG0191;	None	CLU_088451_0_0_1;	APSRFMF;	462118at2759;	None	None	SSF52833;	7_count=1	None	None
A5LHW1	Arthropoda	Eukaryota	Arachnida	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	30_count=1	None
A5LHV9	Arthropoda	Eukaryota	Arachnida	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	30_count=1	None
A5LHW0	Arthropoda	Eukaryota	Arachnida	endoplasmic reticulum [GO:0005783]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum [GO:0005783]	GO:0003756; GO:0005783	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	30_count=1	None
A0SHR2	Arthropoda	Eukaryota	Arachnida	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
Q1HGL1	Mollusca	Eukaryota	Gastropoda	endoplasmic reticulum lumen [GO:0005788]; isomerase activity [GO:0016853]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]	None	isomerase activity [GO:0016853]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788; GO:0015035; GO:0016853	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	8_count=1;7.5_count=2	None	None
Q2XQR3	Apicomplexa	Eukaryota	Aconoidasida	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	KOG0190;	None	CLU_025879_1_0_1;	YMEYTSE;	None	PF00085;	None	SSF52833;	None	None	None
A3RMS2	None	None	None	None	None	None	None	None	Deleted.	None	None	None	None	None	None	None	None	None	None	None	None
P13667	Chordata	Eukaryota	Mammalia	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]; melanosome [GO:0042470]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; RNA binding [GO:0003723]; chaperone-mediated protein folding [GO:0061077]; protein folding [GO:0006457]; protein secretion [GO:0009306]; response to endoplasmic reticulum stress [GO:0034976]	chaperone-mediated protein folding [GO:0061077]; protein folding [GO:0006457]; protein secretion [GO:0009306]; response to endoplasmic reticulum stress [GO:0034976]	protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; RNA binding [GO:0003723]	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]; melanosome [GO:0042470]	GO:0003723; GO:0003756; GO:0005615; GO:0005783; GO:0005788; GO:0006457; GO:0009306; GO:0009986; GO:0015035; GO:0034976; GO:0042470; GO:0061077	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)	Protein disulfide isomerase family	KOG0190;	None	CLU_025879_6_2_1;	ISQPNWT;	462118at2759;	PF00085;	None	SSF52833;	None	None	None
Q13087	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; disulfide oxidoreductase activity [GO:0015036]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; steroid binding [GO:0005496]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein retention in ER lumen [GO:0006621]; response to endoplasmic reticulum stress [GO:0034976]	protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein retention in ER lumen [GO:0006621]; response to endoplasmic reticulum stress [GO:0034976]	disulfide oxidoreductase activity [GO:0015036]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; steroid binding [GO:0005496]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005496; GO:0005783; GO:0005788; GO:0006457; GO:0006621; GO:0015035; GO:0015036; GO:0034975; GO:0034976	Protein disulfide-isomerase A2 (EC 5.3.4.1) (Pancreas-specific protein disulfide isomerase) (PDIp)	Protein disulfide isomerase family	KOG0190;	None	CLU_025879_1_0_1;	FPEPRAN;	462118at2759;	PF00085;	None	SSF52833;	8_count=1	25_count=1	None
P30101	Chordata	Eukaryota	Mammalia	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; MHC class I peptide loading complex [GO:0042824]; nucleus [GO:0005634]; phagocytic vesicle [GO:0045335]; recycling endosome membrane [GO:0055038]; Tapasin-ERp57 complex [GO:0061779]; cysteine-type endopeptidase activity [GO:0004197]; disulfide oxidoreductase activity [GO:0015036]; identical protein binding [GO:0042802]; phospholipase C activity [GO:0004629]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; RNA binding [GO:0003723]; cellular response to interleukin-7 [GO:0098761]; extrinsic apoptotic signaling pathway [GO:0097191]; peptide antigen assembly with MHC class I protein complex [GO:0002502]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; response to endoplasmic reticulum stress [GO:0034976]	cellular response to interleukin-7 [GO:0098761]; extrinsic apoptotic signaling pathway [GO:0097191]; peptide antigen assembly with MHC class I protein complex [GO:0002502]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; response to endoplasmic reticulum stress [GO:0034976]	cysteine-type endopeptidase activity [GO:0004197]; disulfide oxidoreductase activity [GO:0015036]; identical protein binding [GO:0042802]; phospholipase C activity [GO:0004629]; protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; RNA binding [GO:0003723]	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; MHC class I peptide loading complex [GO:0042824]; nucleus [GO:0005634]; phagocytic vesicle [GO:0045335]; recycling endosome membrane [GO:0055038]; Tapasin-ERp57 complex [GO:0061779]	GO:0002502; GO:0003723; GO:0003756; GO:0004197; GO:0004629; GO:0005615; GO:0005634; GO:0005783; GO:0005788; GO:0005925; GO:0006457; GO:0009986; GO:0015035; GO:0015036; GO:0034975; GO:0034976; GO:0042470; GO:0042802; GO:0042824; GO:0045335; GO:0055038; GO:0061779; GO:0070062; GO:0097191; GO:0098761; GO:2001238	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	Protein disulfide isomerase family	KOG0190;	None	CLU_025879_6_0_1;	YIAKHAT;	462118at2759;	PF00085;	None	SSF52833;	None	None	None
Q9C1Z8	Ascomycota	Eukaryota	Saccharomycetes	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
P12865	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	None	GO:0003756	Bloodstream-specific protein 2	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
O97451	Fornicata	Eukaryota	None	protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	None	GO:0003756	Protein disulfide isomerase-1	None	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
Q9U015	Fornicata	Eukaryota	None	isomerase activity [GO:0016853]	None	isomerase activity [GO:0016853]	None	GO:0016853	Protein disulfide isomerase 3	None	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
O97452	Fornicata	Eukaryota	None	integral component of membrane [GO:0016021]; isomerase activity [GO:0016853]	None	isomerase activity [GO:0016853]	integral component of membrane [GO:0016021]	GO:0016021; GO:0016853	Protein disulfide isomerase-2	None	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
