Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TS_DATA
P36511	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; glucuronosyltransferase activity [GO:0015020]; aromatic compound catabolic process [GO:0019439]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; response to xenobiotic stimulus [GO:0009410]	aromatic compound catabolic process [GO:0019439]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; response to xenobiotic stimulus [GO:0009410]	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]	GO:0005789; GO:0008210; GO:0009410; GO:0015020; GO:0016021; GO:0019439; GO:0043231; GO:0052695	UDP-glucuronosyltransferase 2B15 (UDPGT 2B15) (UGT2B15) (EC 2.4.1.17) (UDP-glucuronosyltransferase 2B36) (UDPGT 2B36)	UDP-glycosyltransferase family	KOG1192;	None	None	None	None	PF00201;	None	None	None	None	None	None	None	None
P08542	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]; cellular glucuronidation [GO:0052695]; cellular response to ethanol [GO:0071361]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to growth hormone stimulus [GO:0071378]; cellular response to testosterone stimulus [GO:0071394]; estrogen metabolic process [GO:0008210]; response to lipopolysaccharide [GO:0032496]	cellular glucuronidation [GO:0052695]; cellular response to ethanol [GO:0071361]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to growth hormone stimulus [GO:0071378]; cellular response to testosterone stimulus [GO:0071394]; estrogen metabolic process [GO:0008210]; response to lipopolysaccharide [GO:0032496]	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0008210; GO:0015020; GO:0016021; GO:0032496; GO:0052695; GO:0071361; GO:0071378; GO:0071385; GO:0071394	UDP-glucuronosyltransferase 2B17 (UDPGT 2B17) (UGT2B17) (EC 2.4.1.17) (17-beta-hydroxysteroid-specific UDPGT) (RLUG38) (Testosterone, dihydrotestosterone, and beta-estradiol-specific UDPGT) (UDP-glucuronosyltransferase 2B5) (UDPGT 2B5) (UDPGTr-3)	UDP-glycosyltransferase family	None	None	None	None	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
P09875	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; glucuronosyltransferase activity [GO:0015020]; biphenyl catabolic process [GO:0070980]; cellular glucuronidation [GO:0052695]; cellular response to ethanol [GO:0071361]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to growth hormone stimulus [GO:0071378]; cellular response to testosterone stimulus [GO:0071394]; estrogen metabolic process [GO:0008210]; response to lipopolysaccharide [GO:0032496]; xenobiotic metabolic process [GO:0006805]	biphenyl catabolic process [GO:0070980]; cellular glucuronidation [GO:0052695]; cellular response to ethanol [GO:0071361]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to growth hormone stimulus [GO:0071378]; cellular response to testosterone stimulus [GO:0071394]; estrogen metabolic process [GO:0008210]; response to lipopolysaccharide [GO:0032496]; xenobiotic metabolic process [GO:0006805]	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]	GO:0005789; GO:0006805; GO:0008210; GO:0015020; GO:0016021; GO:0032496; GO:0043231; GO:0052695; GO:0070980; GO:0071361; GO:0071378; GO:0071385; GO:0071394	UDP-glucuronosyltransferase 2B1 (UDPGT 2B1) (UGT2B1) (EC 2.4.1.17) (UDPGTr-2)	UDP-glycosyltransferase family	KOG1192;	None	None	CCHKTAN;	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
Q64633	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; aromatic compound catabolic process [GO:0019439]; cellular glucuronidation [GO:0052695]; coumarin catabolic process [GO:0046226]; estrogen catabolic process [GO:0006711]; liver development [GO:0001889]; response to organic cyclic compound [GO:0014070]	aromatic compound catabolic process [GO:0019439]; cellular glucuronidation [GO:0052695]; coumarin catabolic process [GO:0046226]; estrogen catabolic process [GO:0006711]; liver development [GO:0001889]; response to organic cyclic compound [GO:0014070]	enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]	GO:0001889; GO:0005783; GO:0005789; GO:0006711; GO:0014070; GO:0015020; GO:0016020; GO:0016021; GO:0019439; GO:0019899; GO:0046226; GO:0052695	UDP-glucuronosyltransferase 1A7 (UGT1A7) (EC 2.4.1.17) (A2) (UDP-glucuronosyltransferase 1-7) (UDPGT 1-7) (UGT1*7) (UGT1-07) (UGT1.7) (UDP-glucuronosyltransferase 1A7C)	UDP-glycosyltransferase family	None	None	None	None	None	PF00201;	None	None	None	None	None	None	None	None
P08430	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; protein-containing complex [GO:0032991]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; 4-chlorobiphenyl metabolic process [GO:0018880]; cellular glucuronidation [GO:0052695]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hormone stimulus [GO:0032870]; liver development [GO:0001889]; response to lipopolysaccharide [GO:0032496]; response to organic cyclic compound [GO:0014070]; response to peptide hormone [GO:0043434]; xenobiotic metabolic process [GO:0006805]	4-chlorobiphenyl metabolic process [GO:0018880]; cellular glucuronidation [GO:0052695]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hormone stimulus [GO:0032870]; liver development [GO:0001889]; response to lipopolysaccharide [GO:0032496]; response to organic cyclic compound [GO:0014070]; response to peptide hormone [GO:0043434]; xenobiotic metabolic process [GO:0006805]	enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; protein-containing complex [GO:0032991]	GO:0001889; GO:0005783; GO:0005789; GO:0006805; GO:0014070; GO:0015020; GO:0016021; GO:0018880; GO:0019899; GO:0032496; GO:0032870; GO:0032991; GO:0042803; GO:0043231; GO:0043434; GO:0044877; GO:0052695; GO:0071385	UDP-glucuronosyltransferase 1-6 (UDPGT 1-6) (UGT1*6) (UGT1-06) (UGT1.6) (EC 2.4.1.17) (A1) (P-nitrophenol-specific UDPGT) (UDP-glucuronosyltransferase 1A6) (UGT1A6)	UDP-glycosyltransferase family	None	None	None	None	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
Q64637	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; animal organ regeneration [GO:0031100]; bile acid secretion [GO:0032782]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; vitamin D3 metabolic process [GO:0070640]; xenobiotic glucuronidation [GO:0052697]	animal organ regeneration [GO:0031100]; bile acid secretion [GO:0032782]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; vitamin D3 metabolic process [GO:0070640]; xenobiotic glucuronidation [GO:0052697]	enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005783; GO:0005789; GO:0008210; GO:0015020; GO:0016021; GO:0019899; GO:0031100; GO:0032782; GO:0052695; GO:0052697; GO:0070640	UDP-glucuronosyltransferase 1A3 (UGT1A3) (EC 2.4.1.17) (B3) (UDP-glucuronosyltransferase 1-3) (UDPGT 1-3) (UGT1*3) (UGT1-03) (UGT1.3)	UDP-glycosyltransferase family	None	None	None	None	None	PF00201;	None	None	None	None	None	None	None	None
Q64550	Chordata	Eukaryota	Mammalia	cytochrome complex [GO:0070069]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; glucuronosyltransferase activity [GO:0015020]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]; steroid binding [GO:0005496]; acute-phase response [GO:0006953]; animal organ regeneration [GO:0031100]; bilirubin conjugation [GO:0006789]; biphenyl catabolic process [GO:0070980]; cellular glucuronidation [GO:0052695]; cellular response to estradiol stimulus [GO:0071392]; cellular response to ethanol [GO:0071361]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hormone stimulus [GO:0032870]; cellular response to xenobiotic stimulus [GO:0071466]; estrogen metabolic process [GO:0008210]; flavone metabolic process [GO:0051552]; flavonoid glucuronidation [GO:0052696]; liver development [GO:0001889]; response to ethanol [GO:0045471]; response to glucocorticoid [GO:0051384]; response to lipopolysaccharide [GO:0032496]; response to nutrient [GO:0007584]; response to organic cyclic compound [GO:0014070]; response to organic substance [GO:0010033]; response to starvation [GO:0042594]; response to steroid hormone [GO:0048545]; response to xenobiotic stimulus [GO:0009410]; xenobiotic glucuronidation [GO:0052697]	acute-phase response [GO:0006953]; animal organ regeneration [GO:0031100]; bilirubin conjugation [GO:0006789]; biphenyl catabolic process [GO:0070980]; cellular glucuronidation [GO:0052695]; cellular response to estradiol stimulus [GO:0071392]; cellular response to ethanol [GO:0071361]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hormone stimulus [GO:0032870]; cellular response to xenobiotic stimulus [GO:0071466]; estrogen metabolic process [GO:0008210]; flavone metabolic process [GO:0051552]; flavonoid glucuronidation [GO:0052696]; liver development [GO:0001889]; response to ethanol [GO:0045471]; response to glucocorticoid [GO:0051384]; response to lipopolysaccharide [GO:0032496]; response to nutrient [GO:0007584]; response to organic cyclic compound [GO:0014070]; response to organic substance [GO:0010033]; response to starvation [GO:0042594]; response to steroid hormone [GO:0048545]; response to xenobiotic stimulus [GO:0009410]; xenobiotic glucuronidation [GO:0052697]	enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; glucuronosyltransferase activity [GO:0015020]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]; steroid binding [GO:0005496]	cytochrome complex [GO:0070069]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]	GO:0001889; GO:0001972; GO:0004857; GO:0005496; GO:0005783; GO:0005789; GO:0005887; GO:0006789; GO:0006953; GO:0007584; GO:0008210; GO:0009410; GO:0010033; GO:0014070; GO:0015020; GO:0019899; GO:0031100; GO:0032496; GO:0032870; GO:0034663; GO:0042594; GO:0042803; GO:0043231; GO:0045471; GO:0048545; GO:0051384; GO:0051552; GO:0052695; GO:0052696; GO:0052697; GO:0070069; GO:0070980; GO:0071361; GO:0071385; GO:0071392; GO:0071466	UDP-glucuronosyltransferase 1A1 (UGT1A1) (EC 2.4.1.17) (B1) (UDP-glucuronosyltransferase 1-1) (UDPGT 1-1) (UGT1*1) (UGT1-01) (UGT1.1)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_3_1_1;	None	None	PF00201;	None	None	None	None	None	None	None	None
Q20CL6	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	508327at2759;	PF00201;	None	None	None	7.4_count=1	None	37_count=1	None	None
Q20CK6	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	CHYFEEG;	508327at2759;	PF00201;	None	None	None	7.4_count=1	None	37_count=1	None	None
Q20CK8	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	508327at2759;	PF00201;	None	None	None	7.4_count=1	None	37_count=1	None	None
Q20CL0	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	CHYFEEG;	508327at2759;	PF00201;	None	None	None	7.4_count=1	None	37_count=1	None	None
Q20CL1	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	CLU_012949_1_3_1;	None	508327at2759;	PF00201;	None	None	None	7.4_count=1	None	37_count=1	None	None
Q20CL2	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	508327at2759;	PF00201;	None	None	None	7.4_count=1	None	37_count=1	None	None
Q20CL3	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	None	PF00201;	None	None	None	7.4_count=1	None	37_count=1	None	None
Q20CL4	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	508327at2759;	PF00201;	None	None	None	7.4_count=1	None	37_count=1	None	None
Q20CL5	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_5_0_1;	None	None	PF00201;	None	None	None	7.4_count=1	None	37_count=1	None	None
Q20CK7	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	None	PF00201;	None	None	None	7.4_count=1	None	37_count=1	None	None
Q20CK9	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	CLU_012949_0_2_1;	None	508327at2759;	PF00201;	None	None	None	7.4_count=1	None	37_count=1	None	None
O75795	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; glucuronosyltransferase activity [GO:0015020]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; steroid metabolic process [GO:0008202]	cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; steroid metabolic process [GO:0008202]	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]	GO:0005789; GO:0008202; GO:0008210; GO:0015020; GO:0016020; GO:0016021; GO:0052695	UDP-glucuronosyltransferase 2B17 (UDPGT 2B17) (UGT2B17) (EC 2.4.1.17) (C19-steroid-specific UDP-glucuronosyltransferase) (C19-steroid-specific UDPGT)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_3_2_1;	YNIKLCE;	508327at2759;	PF00201;	None	None	0.003;6alpha-hydroxyprogesterone_count=2;0.0038;testosterone_count=3;0.018;cis-4-hydroxytamoxifen_count=4;0.0211;8-gingerol_count=5;0.0313;10-gingerol_count=6;0.041;cis-4-hydroxytamoxifen_count=7;0.0488;6-gingerol_count=8;0.087;1-hydroxybenzo(a)pyrene_count=9;0.295;3-hydroxybenzo(a)pyrene_count=10;0.481;9-hydroxybenzo(a)pyrene_count=11;1.588;7-hydroxy benzo(a)pyrene_count=12	7.4_count=1;7.5_count=2	None	37_count=1	None	None
P54855	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; steroid metabolic process [GO:0008202]; xenobiotic metabolic process [GO:0006805]	cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; steroid metabolic process [GO:0008202]; xenobiotic metabolic process [GO:0006805]	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0006805; GO:0008202; GO:0008210; GO:0015020; GO:0016021; GO:0052695	UDP-glucuronosyltransferase 2B15 (UDPGT 2B15) (UGT2B15) (EC 2.4.1.17) (HLUG4) (UDP-glucuronosyltransferase 2B8) (UDPGT 2B8) (UDPGTh-3)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_3_0_1;	ILDRWIY;	508327at2759;	PF00201;	None	None	0.0057;testosterone_count=2;0.016;8-hydroxyquinoline_count=3;0.02;cis-4-hydroxytamoxifen_count=4;0.0253;6-gingerol_count=5;0.0918;9-hydroxybenzo(a)pyrene_count=6;0.149;4-Methylumbelliferone_count=7;0.169;1-hydroxybenzo(a)pyrene_count=8;0.253;4-Methylumbelliferone_count=9;0.339;umbelliferone_count=10;0.497;3-hydroxybenzo(a)pyrene_count=11;0.542;7-hydroxy benzo(a)pyrene_count=12;8.03;ethanol_count=13;0.003;6alpha-hydroxyprogesterone_count=14	7.4_count=1;7.5_count=2	1.74;4-Methylumbelliferone_count=1	37_count=1	None	None
Q9HAW8	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase C binding [GO:0005080]; cellular glucuronidation [GO:0052695]; flavone metabolic process [GO:0051552]; lipid metabolic process [GO:0006629]; liver development [GO:0001889]; negative regulation of cellular glucuronidation [GO:2001030]; negative regulation of fatty acid metabolic process [GO:0045922]; negative regulation of glucuronosyltransferase activity [GO:1904224]; xenobiotic metabolic process [GO:0006805]	cellular glucuronidation [GO:0052695]; flavone metabolic process [GO:0051552]; lipid metabolic process [GO:0006629]; liver development [GO:0001889]; negative regulation of cellular glucuronidation [GO:2001030]; negative regulation of fatty acid metabolic process [GO:0045922]; negative regulation of glucuronosyltransferase activity [GO:1904224]; xenobiotic metabolic process [GO:0006805]	enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase C binding [GO:0005080]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0001889; GO:0005080; GO:0005783; GO:0005789; GO:0006629; GO:0006805; GO:0015020; GO:0016021; GO:0019899; GO:0042803; GO:0045922; GO:0046982; GO:0051552; GO:0052695; GO:1904224; GO:2001030	UDP-glucuronosyltransferase 1A10 (UGT1A10) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-10) (UDPGT 1-10) (UGT1*10) (UGT1-10) (UGT1.10) (UDP-glucuronosyltransferase 1-J) (UGT-1J) (UGT1J)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_3_1_1;	AFAPMYE;	None	PF00201;	None	None	0.00234;17beta-estradiol_count=4;0.00491;7-hydroxy-4-trifluoromethylcoumarin_count=7;0.0097;3-hydroxybenzo(a)pyrene_count=11;0.0098;7-hydroxy benzo(a)pyrene_count=12;0.0113;1-hydroxybenzo(a)pyrene_count=14;0.0138;estradiol_count=15;0.03;cis-4-hydroxytamoxifen_count=16;0.031;4-Methylumbelliferone_count=17;0.0382;9-hydroxybenzo(a)pyrene_count=18;0.0388;estriol_count=19;0.0421;estrone_count=22;0.1182;4-hydroxyestrone_count=25;0.1226;4-Methylumbelliferone_count=26;0.1305;2-hydroxyestrone_count=27;0.206;6-gingerol_count=28;0.2338;4-hydroxyestradiol_count=29;0.3359;4-nitrophenol_count=32;0.096;trans-4-hydroxytamoxifen_count=33	6.4-7.6_count=1;6_count=3;7.4_count=4;7.5_count=5;7.6_count=6	None	37_count=1	None	None
P35503	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]; bile acid secretion [GO:0032782]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; flavonoid glucuronidation [GO:0052696]; negative regulation of cellular glucuronidation [GO:2001030]; negative regulation of fatty acid metabolic process [GO:0045922]; negative regulation of glucuronosyltransferase activity [GO:1904224]; retinoic acid metabolic process [GO:0042573]; vitamin D3 metabolic process [GO:0070640]; xenobiotic glucuronidation [GO:0052697]	bile acid secretion [GO:0032782]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; flavonoid glucuronidation [GO:0052696]; negative regulation of cellular glucuronidation [GO:2001030]; negative regulation of fatty acid metabolic process [GO:0045922]; negative regulation of glucuronosyltransferase activity [GO:1904224]; retinoic acid metabolic process [GO:0042573]; vitamin D3 metabolic process [GO:0070640]; xenobiotic glucuronidation [GO:0052697]	enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0001972; GO:0005783; GO:0005789; GO:0008210; GO:0015020; GO:0016021; GO:0019899; GO:0032782; GO:0042573; GO:0042803; GO:0045922; GO:0046982; GO:0052695; GO:0052696; GO:0052697; GO:0070640; GO:1904224; GO:2001030	UDP-glucuronosyltransferase 1A3 (UGT1A3) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-3) (UDPGT 1-3) (UGT1*3) (UGT1-03) (UGT1.3) (UDP-glucuronosyltransferase 1-C) (UGT-1C) (UGT1C) (UDP-glucuronosyltransferase 1A isoform 3)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_1_3_1;	KYFCHIS;	None	PF00201;	None	None	0.335;4-Methylumbelliferone_count=2;0.0501;7-hydroxy benzo(a)pyrene_count=3;0.094;trans-4-hydroxytamoxifen_count=4;0.165;cis-4-hydroxytamoxifen_count=5;0.208;9-hydroxybenzo(a)pyrene_count=6;0.293;2-(4-chlorophenyl)-5-(2-furyl)-4-oxazoleacetic acid_count=7;0.294;entacapone_count=8;0.348;3-hydroxybenzo(a)pyrene_count=9;0.49;amitriptyline_count=10;0.494;8-hydroxyquinoline_count=11;0.76;imipramine_count=12;1.159;4-Methylumbelliferone_count=13;1.526;1-hydroxybenzo(a)pyrene_count=14;3.384;desmethylnaproxen_count=15;4.375;naproxen_count=16;40.04;ethanol_count=17	7.4_count=1;7.5_count=2;7.6_count=3	0.015;quercetin_count=1;0.0623;kaempferol_count=2;1.16;4-Methylumbelliferone_count=3	37_count=1	0.0178;quercetin_count=1;0.0252;kaempferol_count=2	None
