Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
B3TNG0	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
P51545	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (AK) (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
Q4AED1	Annelida	Eukaryota	Polychaeta (polychaetes)	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase 2	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	35.4;L-Arg_count=1	None	None	None	5.8;L-Arg_count=1	None
Q4AED2	Annelida	Eukaryota	Polychaeta (polychaetes)	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase 1	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	34.3;L-Arg_count=1	None	None	None	5.8;L-Arg_count=1	None
Q4AEC4	Mollusca	Eukaryota	Bivalvia	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.912;L-arginine_count=1	None	None	None	212.9;L-arginine_count=1;22.9;ATP_count=2	None
B0L6Z9	None	Eukaryota	Choanoflagellata	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
B0L6Z8	None	Eukaryota	Choanoflagellata	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (Fragment)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
B0L6Z7	None	Eukaryota	Choanoflagellata	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
A6XH14	Porifera (sponges)	Eukaryota	Demospongiae	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
A6XH17	Porifera (sponges)	Eukaryota	Demospongiae	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
A6XH11	Porifera (sponges)	Eukaryota	Hexactinellida	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
Q004B5	Arthropoda	Eukaryota	Malacostraca	arginine binding [GO:0034618]; arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; dTDP metabolic process [GO:0046072]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	dTDP metabolic process [GO:0046072]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine binding [GO:0034618]; arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0034618; GO:0046072; GO:0046314	Arginine kinase Lit v 2.0101 (EC 2.7.3.3) (Allergen Lit v 2) (Arginine kinase) (AK) (LvAK) (allergen Lit v 2.0101)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
B3TNE7	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNC8	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNC9	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TND0	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNE6	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
Q9NH48	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (AK) (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
Q9NH47	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
B3TND1	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNF7	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNF9	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
Q9GYX1	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (AK) (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
B3TND8	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TND7	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TND6	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNE8	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNE9	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNE2	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNE3	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNF0	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TND4	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
Q9U9J4	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (AK) (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
B3TNF1	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNF6	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNF8	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TND5	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TND2	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNE4	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNE0	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TND9	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNE1	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TND3	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
